Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,1075069.3270000003,1151415.2519999999,1190174.822,1296150.1890000002,1356302.0379999997,1410707.0010000004,1312387.1609999996,1310249.341,1363009.9710000001,1389656.8149999997,1364618.697,1400993.498,1434503.914,1459717.744,1456289.2859999998,1460789.5250000001,1403102.976,1154295.549,1273794.7920000006,1312765.5550000002,1517134.053
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,20166.553,20987.107,19512.769,21943.746,24848.867,23190.441,24097.114,23213.657,23303.025,24815.67,22406.383,23131.209,24034.178,25241.039,25978.578,26221.795,22813.677,20068.431,16004.773,14404.164,18145.929
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,39589.351,42354.904,42962.852,45405.46,47010.942,47993.665,37454.772,36489.789,37292.502,39908.975,40313.796,38974.144,40327.558,42799.892,48143.118,49078.455,43331.224,41087.002,45648.844,40650.105,51525.125
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,14560.903,16359.994,15579.317,16529.164,19131.69,24220.355,23022.32,20763.053,20922.859,18389.42,15694.314,14236.934,17156.022,16467.668,18384.203,26260.967,18574.94,11597.324,12057.94,12309.806,12791.843
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,33436.984,38046.42,48489.431,57283.641,50560.448,38805.393,39622.865,42320.16,37766.839,38403.191,36417.227,34918.276,41024.458,38456.984,29251.109,25642.876,23731.211,15196.16,15511.919,23918.464,85275.094
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,38123.902,31721.237,35696.106,39157.697,43530.598,47405.302,38899.435,40736.171,45830.862,46369.47,36400.248,40184.615,41489.575,46158.117,55758.067,52012.05,49573.885,45215.241,55921.734,39893.346,43418.676
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,16199.26,13897.309,10653.677,12645.085,15703.747,15819.28,15906.65,17951.7,21718.845,19759.15,17835.506,16212.012,17442.911,16169.238,18410.755,14515.039,23040.274,18725.192,15033.883,11474.508,12119.853
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,42533.361,30426.546,30539.277,33738.523,32192.789,33621.186,34591.216,41632.588,37614.879,41045.147,30378.4,30203.615,29068.684,32980.281,27039.902,23118.265,20095.878,16113.094,19432.643,26379.445,31605.484
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,58654.803,64338.407,59043.115,58579.296,67875.185,65313.193,59396.852,51062.42,45619.252,48968.312,53534.453,56408.782,61789.305,53107.012,55065.891,44467.976,53931.954,42097.988,38933.953,44362.427,57874.216
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,110735.143,118429.068,123908.525,155909.392,141905.79,145464.997,133420.476,112245.78,131691.591,156008.457,141693.586,139677.175,118940.335,130070.302,124780.494,114698.325,112962.142,89520.241,105993.449,138717.832,139857.732
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,24875.745,29154.554,19328.853,16578.769,18416.138,25552.139,28810.788,24909.198,27153.629,24920.13,31899.452,38937.824,29281.274,30330.195,32273.515,29554.739,33399.192,23130.582,23298.228,17435.269,24744.097
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,56389.698,54793.087,51010.474,64224.566,58841.838,63400.911,57300.262,51998.848,62775.335,67220.924,75012.107,77166.076,77752.036,85205.384,94714.471,79961.589,77477.57,61710.019,67824.56,59023.175,56564.505
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,19427.785,21747.288,21073.121,23968.621,28026.154,29425.443,29362.913,26397.932,25555.749,25365.061,30470.37,40574.652,32780.318,30270.23,23953.952,25416.889,25391.117,23690.671,25527.489,21590.161,21942.579
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,23203.248,33319.836,28733.035,23626.259,23608.015,34042.361,22952.952,26820.023,24966.064,27803.5,29181.247,34993.426,42413.317,45015.426,35327.771,39625.119,36089.833,24567.508,25937.968,38254.767,40949.7
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,73674.566,81114.892,86433.424,88401.429,98812.875,112625.827,96165.885,100563.849,113765.184,109339.646,107323.709,99398.43,114527.595,114729.767,121417.352,115187.063,104818.791,91398.223,94844.592,97823.519,99807.682
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,47748.58,54128.342,58213.449,63898.018,67830.494,69893.383,62833.967,79718.117,76564.441,67618.637,74611.555,76648.189,74241.603,80438.984,99302.698,105591.43,91578.241,87431.839,100243.522,88331.307,80299.377
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,28351.332,29205.611,26260.578,30205.095,35020.58,37008.601,31477.422,32384.878,38490.363,36775.712,30995.636,32608.091,36958.684,35635.987,32521.694,34848.875,31576.562,23569.425,23220.753,22693.593,23366.123
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,17900.069,17559.159,23431.313,17107.866,16432.266,17756.111,22654.876,21519.807,15906.878,13408.299,13427.655,14070.454,12728.696,13827.841,16657.441,16426.57,18497.793,14606.731,16115.24,17916.315,15148.578
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,12352.061,23236.184,27405.568,24707.15,20529.306,23172.22,20965.997,18017.262,19893.906,21677.946,21845.698,20659.889,17193.728,17874.149,17080.395,14049.805,14718.825,11093.206,16043.63,16297.459,17370.634
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,59293.374,64410.38,75136.481,89333.496,106879.097,96974.387,81320.691,91212.765,93418.594,89199.506,88938.382,99017.189,113525.003,101364.348,103626.334,113979.548,112729.124,99841.844,102712.757,94369.373,97453.74
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,27461.949,28495.787,26432.911,24423.011,25268.313,28545.489,31525.205,32070.927,34128.786,38235.545,38226.753,38752.821,42580.346,39367.567,26301.058,31890.347,27590.622,29092.539,37893.491,50430.044,73233.687
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Puebla<C1>,27916.136,32130.489,39396.048,43536.051,43334.291,40335.12,37952.77,38919.152,39227.116,44404.064,40921.939,48812.257,54316.29,55341.012,51509.605,56476.292,65768.342,45547.788,46514.427,43089.948,46651.138
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Querétaro<C1>,18959.805,19453.1,22018.891,27307.68,27213.152,30696.138,31993.422,33558.243,35658.115,34810.225,35041.358,35113.42,35848.716,38820.996,42199.636,46691.146,41124.748,31328.117,29593.744,32252.39,42404.923
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Quintana Roo<C1>,16154.442,17816.992,23990.644,24693.9,23828.222,24459.4,21309.209,18006.146,20426.537,19812.26,22707.755,25648.617,24656.396,27007.476,24687.293,25659.785,26524.499,19068.173,15968.562,19975.973,76524.91
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,16646.504,17216.086,21219.283,24771.777,21764.821,25589.833,26310.235,22771.258,23875.101,24867.075,30146.258,29259.098,35820.896,35540.694,38935.987,38690.239,28876.893,22894.347,23221.753,24998.502,25739.645
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Sinaloa<C1>,34016.876,44202.794,33480.755,34967.063,46833.487,57931.692,56103.15,59446.496,59056.189,49205.256,45367.893,40157.41,39596.218,45860.984,44482.402,49538.149,41043.391,33707.236,37041.67,39294.387,39080.074
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Sonora<C1>,27616.934,31908.344,31226.796,34719.311,36062.548,37240.103,34391.278,30968.474,33384.058,34029.286,34325.137,36312.44,34564.131,40157.658,44880.301,45056.789,39337.99,34299.147,35948.824,38859.466,50599.604
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tabasco<C1>,29306.634,26400.274,33659.491,37003.618,31933.075,38315.298,39295.46,37739.511,43423.484,46866.8,43738.172,46214.963,45044.264,39643.561,31383.878,28774.105,26086.7,30014.558,76203.404,98439.128,73616.061
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tamaulipas<C1>,44568.023,41668.051,51443.568,46989.41,53077.649,57185.928,46784.374,45548.943,43379.05,41744.838,38921.334,37881.298,41964.339,39977.474,40261.248,45261.254,44872.619,32220.532,28584.058,29113.679,30633.675
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tlaxcala<C1>,7084.892,8257.677,5881.254,3529.575,4729.94,4331.676,4805.284,5469.147,4417.273,4586.728,3776.901,4399.864,6617.534,5237.961,4783.551,5423.769,6222.772,4588.887,4739.449,5208.441,5489.723
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,53891.657,62788.274,60445.166,70448.012,80368.878,68269.176,76968.579,80527.269,79305.628,86530.032,90515.997,83901.977,84912.942,84157.439,71792.742,77881.421,85415.435,66758.533,66234.85,53625.004,63464.428
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Yucatán<C1>,21402.419,20337.071,24184.655,26698.361,28942.726,28797.691,26327.91,28261.601,29145.676,31377.762,27546.248,30139.845,30076.164,32032.673,35390.185,36550.757,36440.303,27888.986,31486.735,31733.458,38827.789
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Zacatecas<C1>,12826.338,15509.988,13383.995,13819.147,15788.117,17324.262,18362.832,17004.177,17332.161,16189.791,15003.228,16378.506,15830.398,20429.405,19993.66,22238.097,19466.429,16225.985,20055.948,19900.1,20607.429
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,NA,7.101488534981,3.366254696789,8.904184918138,4.640808566051,4.011271934696,-6.969543635234,-0.162895528357,4.026762567172,1.954999931545,-1.801748297115,2.665565192677,2.391903748864,1.757668958162,-0.234871297146,0.309020950938,-3.948997991343,-17.732656209547,10.352568984913,3.059422384575,15.567783388406
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Aguascalientes<C1>,NA,4.068885743637,-7.024970140001,12.458390708156,13.238947443158,-6.674050772617,3.909684166851,-3.666235716028,0.384980272604,6.491195885513,-9.708732425923,3.234908552621,3.903682682561,5.021436555891,2.921983520567,0.936221374395,-12.997271925892,-12.033334214384,-20.249007010065,-10.000822879525,25.976967493566
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Baja California<C1>,NA,6.985598223118,1.435366256526,5.685395373659,3.535878724717,2.090413333985,-21.958925203983,-2.57639533889,2.199829108357,7.016083286662,1.014360804806,-3.323060919393,3.472594548837,6.130631564649,12.484204399394,1.942825971513,-11.710293243746,-5.179225954937,11.102883583475,-10.950417495786,26.752747625129
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Baja California Sur<C1>,NA,12.355627944229,-4.771866053252,6.096846222463,15.745055224814,26.598094575022,-4.946397358751,-9.813376757859,0.769665231794,-12.108474276866,-14.655742269196,-9.286038242895,20.503628098578,-4.012317074436,11.638168804472,42.845284073506,-29.267875017702,-37.564675848213,3.971743826421,2.088797920706,3.915878121881
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Campeche<C1>,NA,13.785441892726,27.448077900628,18.136343979784,-11.736671906033,-23.249507203734,2.10659379226,6.807420412431,-10.759224445276,1.684949063383,-5.171351516076,-4.116049253283,17.487066085393,-6.258398343739,-23.938109655193,-12.335371626423,-7.45495552059,-35.965509724725,2.077886781924,54.194100678324,256.524122953715
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,NA,-16.794359087378,12.530624199807,9.697391082377,11.167411096725,8.901104459902,-17.942860062362,4.721754956081,12.506553450986,1.175208094493,-21.499538381612,10.396541803781,3.247411975951,11.252325433558,20.797967126779,-6.718340863574,-4.68769256355,-8.792217918769,23.678947105468,-28.662179895924,8.836887234277
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Colima<C1>,NA,-14.210223183034,-23.340000571334,18.692213026545,24.188544402825,0.735703396139,0.552300736822,12.856572565562,20.984892795668,-9.023016647524,-9.735459268238,-9.102595687501,7.592512268064,-7.301952065226,13.862848700724,-21.160001314449,58.733807053498,-18.728431788615,-19.713063556304,-23.675686447739,5.624162709199
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Chiapas<C1>,NA,-28.464280074175,0.370502126663,10.475840669051,-4.581510577686,4.437009169973,2.885174841839,20.355953950853,-9.650394541891,9.119444462389,-25.987839682972,-0.575359465936,-3.757599876703,13.456395205232,-18.011911420646,-14.503147977385,-13.073589216146,-19.818910126743,20.601561686415,35.748106935325,19.811027108417
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Chihuahua<C1>,NA,9.689920874851,-8.230374743347,-0.785559840466,15.868898458595,-3.774563561042,-9.058416421319,-14.031773939804,-10.659831633518,7.341330366399,9.324685318947,5.369119957198,9.538449172684,-14.051449518651,3.688550581607,-19.24587945013,21.282682171098,-21.942401716059,-7.515881756629,13.942776373106,30.457731719683
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Ciudad de México<C1>,NA,6.948042682349,4.626783856815,25.82620283794,-8.98188481166,2.508147835265,-8.280013232324,-15.870649419659,17.324313662393,18.465010419686,-9.175701930056,-1.423078529469,-14.846262461995,9.35760522282,-4.066883768748,-8.079923934265,-1.513695165121,-20.751997602878,18.401657341383,30.873967503407,0.82174006295
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Durango<C1>,NA,17.200727053602,-33.702113913319,-14.227869599919,11.082662409978,38.748629055669,12.752940174598,-13.542114849479,9.010450677697,-8.225416204957,28.006764009658,22.064241103578,-24.799922050087,3.582224598561,6.407212350597,-8.424170717072,13.007907124472,-30.745085090681,0.724780725362,-25.16482798606,41.919789135459
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Guanajuato<C1>,NA,-2.831387747457,-6.903449334767,25.904664206806,-8.381104513809,7.748012562082,-9.622336499234,-9.251989109579,20.724472588316,7.081744764883,11.590413425439,2.871495130779,0.759349224911,9.58604865344,11.160194994251,-15.576164702435,-3.106515304492,-20.351117103957,9.908506104981,-12.976693103501,-4.165601054162
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Guerrero<C1>,NA,11.939101652607,-3.10000492935,13.740252333767,16.928520835638,4.99279708518,-0.212503172849,-10.097707267668,-3.190337030946,-0.74616478664,20.127327901951,33.161008546992,-19.209860382783,-7.657302165281,-20.86630329535,6.107288684556,-0.101397145811,-6.697011399695,7.753338856464,-15.423875023509,1.632308346381
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Hidalgo<C1>,NA,43.599878775592,-13.765977119455,-17.773186856174,-0.077219165336,44.198319934988,-32.575322845557,16.847815479246,-6.912592878835,11.365171538453,4.955300591652,19.917514148727,21.203671226704,6.135122607836,-21.520744910867,12.164220607069,-8.921830619613,-31.926789464501,5.578343558492,47.485597175538,7.04469850777
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Jalisco<C1>,NA,10.098907131669,6.556788610407,2.276902740773,11.777463461592,13.978899004811,-14.614713550561,4.573309963299,13.127316755746,-3.890063589226,-1.843738363667,-7.384462458337,15.220728335448,0.176526888563,5.828988565801,-5.131300343299,-9.00124695427,-12.803589768556,3.770717730475,3.14085066653,2.028308754667
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|México<C1>,NA,13.361155452162,7.547075799957,9.765044156721,6.154300435422,3.041241303653,-10.100263711659,26.871055268562,-3.956034234978,-11.684019217224,10.341702096125,2.729649583097,-3.139781945794,8.34758511343,23.450960046935,6.332891378238,-13.271142364489,-4.527715268084,14.653338127773,-11.883276607141,-9.092959532457
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,NA,3.013188233978,-10.083791775491,15.020678524288,15.94262491146,5.676722087413,-14.945658172812,2.882879036282,18.852888684651,-4.454754038043,-15.717101547891,5.202200077456,13.342065930815,-3.57885307821,-8.739179863322,7.155780384626,-9.390010437927,-25.357849280742,-1.479340289379,-2.270210617201,2.963523669434
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Morelos<C1>,NA,-1.904517798227,33.442114169591,-26.987164569053,-3.949060625095,8.056375182826,27.589177607642,-5.010263574164,-26.082617748384,-15.707538588025,0.14435835597,4.787127759836,-9.535996493077,8.635173626584,20.463064335206,-1.385993202677,12.608980450575,-21.035277019264,10.327492167823,11.176222010966,-15.448137633213
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Nayarit<C1>,NA,88.115845606656,17.943497090572,-9.846240004951,-16.909453336382,12.873859447562,-9.520982452264,-14.064368129023,10.415811237024,8.967771336609,0.773837152284,-5.428112207722,-16.77724890003,3.957379109405,-4.440793237205,-17.743090836014,4.761774273735,-24.63253011025,44.625728576572,1.582117014666,6.584922226219
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Nuevo León<C1>,NA,8.629979464484,16.652752242729,18.894969275977,19.640562370916,-9.267209658405,-16.142093272526,12.164276862822,2.418333661961,-4.516325732755,-0.292741531551,11.332348051936,14.651813636115,-10.711873753485,2.231540028255,9.99091022558,-1.097059974303,-11.432076771926,2.875460713646,-8.123026042422,3.26839831817
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Oaxaca<C1>,NA,3.76461991099,-7.239231539736,-7.6037784866,3.461088397332,12.969508490733,10.438482942086,1.731065666345,6.416587209967,12.033123592501,-0.02299431066,1.376177568626,9.876764842487,-7.545215813887,-33.191050389271,21.251194533695,-13.482841688741,5.443577893967,30.251577560831,33.083658087876,45.218368240964
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Puebla<C1>,NA,15.096476818998,22.612662384317,10.508675895613,-0.463432018673,-6.921010891813,-5.906391254073,2.546275278458,0.791291649931,13.197370920666,-7.841906092199,19.281388401464,11.275923995893,1.886583196312,-6.923268768558,9.642254099988,16.453010052431,-30.745117460921,2.122252347359,-7.362186789918,8.264549309737
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Querétaro<C1>,NA,2.601793636591,13.189625303936,24.019325042301,-0.346159029255,12.798906940291,4.226212431023,4.891071045792,6.257395537663,-2.377831806308,0.663980195474,0.205648422644,2.094059764045,8.291175617001,8.703125494256,10.643480431917,-11.921742079323,-23.821741108298,-5.536154630679,8.983810902737,31.478389663526
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Quintana Roo<C1>,NA,10.291596577585,34.650360734292,2.931376081442,-3.505634994877,2.648867380873,-12.879265231363,-15.50063636806,13.442026961239,-3.00724983388,14.61466284008,12.9509147866,-3.868516575377,9.535375729689,-8.590891647927,3.939241131055,3.369919116626,-28.111090807031,-16.255416814186,25.095628523094,283.084768887102
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,NA,3.421631352745,23.252654523217,16.741819221696,-12.138636642821,17.574286505733,2.815188360159,-13.450951692374,4.847527527904,4.154847344939,21.229609835495,-2.942852807801,22.42652182921,-0.782230572904,9.553254643818,-0.63115903547,-25.363880538448,-20.717415824479,1.430073546103,7.651226847517,2.964749647799
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Sinaloa<C1>,NA,29.943719699599,-24.256473470885,4.439290571554,33.936004290666,23.697157121783,-3.156375960847,5.959283926125,-0.656568555361,-16.680610731587,-7.798685164853,-11.484956993705,-1.397480564608,15.821627206922,-3.006001790106,11.365723910323,-17.14791160243,-17.874144463356,9.892338843802,6.081575155764,-0.545403596702
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Sonora<C1>,NA,15.539052959318,-2.135955410284,11.184352695038,3.868846936507,3.265312811507,-7.649884856656,-9.952535058453,7.800138941299,1.932742867868,0.869401138772,5.789643315917,-4.814628265134,16.183039579384,11.760255042762,0.393241569391,-12.69242466435,-12.809101329275,4.809673546692,8.096626471008,30.211784176345
Variación porcentual anual en valores constantes|B.1bV---Valor agregado bruto|Tabasco<C1>,NA,-9.917072018574,27.496748707987,9.935168062999,-13.70283035567,19.986246235291,2.558147923057,-3.959615182008,15.061066901476,7.9296170708,-6.675574180443,5.662767524898,-2.533160093626,-11.989768552995,-20.834866474281,-8.315648563253,-9.33966495222,15.056937059881,153.888143213703,29.179436656137,-25.216666892864
