PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Tema,Total de egresos,11848058487,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Capítulo,Servicios personales,680237271,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Concepto,Remuneraciones al personal,187905580,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,10940914,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Secretaría general de gobierno,18299747,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,21765523,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,17697257,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Secretaría de fomento económico,5019766,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Secretaría de turismo,5807477,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Secretaría de desarrollo social,7244449,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Seguridad pública y tránsito,40830855,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Procuraduría general de justicia,28124270,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Contraloría general del estado,4603787,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Dependencias diversas,27571535,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Concepto,Remuneraciones adicionales y especiales,192266185,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,4170589,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",48854455,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Horas extraordinarias,14539,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,01,Egresos,Partida Genérica,Compensaciones,139133041,Cifras Definitivas
