PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Tema,Total de egresos,4633578741,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Capítulo,Servicios personales,367248767,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Remuneraciones al personal,324839675,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Dependencias diversas,324839675,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Remuneraciones adicionales y especiales,24751400,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,24751400,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Seguridad social,17657692,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otras cuotas de seguridad social y seguros,17657692,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Capítulo,Materiales y suministros,77545170,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",13034603,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros materiales y útiles de administración,13034603,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Alimentos y utensilios,7493687,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros alimentos y utensilios,7493687,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Materiales y artículos de construcción y de reparación,2784403,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros materiales y artículos de construcción y reparación,2784403,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",7602519,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros productos adquiridos como materia prima,7602519,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Combustibles, lubricantes y aditivos",16547230,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,"Combustibles, lubricantes y aditivos",16547230,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Vestuario, blancos, prendas de protección y artículos deportivos",3593138,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,"Otros vestuario, blancos, prendas de protección y artículos deportivos",3593138,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Materiales y suministros para seguridad,40046,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros materiales para la seguridad,40046,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Materiales y suministros diversos,26449544,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Capítulo,Servicios generales,98990338,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Servicios básicos,16953276,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Servicios integrales y otros servicios,16953276,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Servicios de arrendamiento,3088213,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros arrendamientos,3088213,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Servicios profesionales, científicos, técnicos y otros servicios",16279132,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,"Servicios profesionales, científicos y técnicos integrales",16279132,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Servicios financieros, bancarios y comerciales",5914087,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,"Servicios financieros, bancarios y comerciales integrales",5914087,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,"Servicios de instalación, reparación, mantenimiento y conservación",14777388,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Diversos servicios de mantenimiento,14777388,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Servicios de comunicación social y publicidad,25258206,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros servicios de información,25258206,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Servicios oficiales,12963691,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Diversos servicios oficiales,12963691,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Otros servicios generales,3756345,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Otros servicios generales,3756345,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Capítulo,"Transferencias, asignaciones, subsidios y otras ayudas",2650843346,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Concepto,Transferencias internas y asignaciones al sector público,2650843346,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,A poderes,132148257,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Legislativo,61711434,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Judicial,70436823,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,A instituciones del gobierno según función,2406648117,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Instituciones y programas de educación,1710847110,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Instituciones y programas de salud,436064537,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Instituciones y programas de asistencia social,81460373,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Instituciones y programas de seguridad social,3000000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Instituciones y programas de cultura y deporte,87163145,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Instituciones y programas de seguridad pública,88112952,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Partida Genérica,Diversas transferencias,112046972,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Subpartida Genérica,Otras transferencias,112046972,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2000,01,Egresos,Capítulo,"Bienes muebles, inmuebles e intangibles",36574931,Cifras Definitivas
