PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Tema,Total de egresos,3679454095,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Capítulo,Servicios personales,277306436,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Remuneraciones al personal,231113511,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Dependencias diversas,231113511,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Remuneraciones adicionales y especiales,30164189,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,30164189,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Seguridad social,16028736,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otras cuotas de seguridad social y seguros,16028736,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Capítulo,Materiales y suministros,33391360,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",7557059,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otros materiales y útiles de administración,7557059,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Alimentos y utensilios,5508922,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otros alimentos y utensilios,5508922,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Materiales y artículos de construcción y de reparación,1170144,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otros materiales y artículos de construcción y reparación,1170144,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,"Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",5499927,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otros productos adquiridos como materia prima,5499927,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,"Combustibles, lubricantes y aditivos",10504988,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,"Combustibles, lubricantes y aditivos",10504988,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,"Vestuario, blancos, prendas de protección y artículos deportivos",1605356,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,"Otros vestuario, blancos, prendas de protección y artículos deportivos",1605356,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Materiales y suministros para seguridad,12098,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Otros materiales para la seguridad,12098,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Materiales y suministros diversos,1532866,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Capítulo,Servicios generales,73546646,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Servicios básicos,12014535,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Partida Genérica,Servicios integrales y otros servicios,12014535,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1999,01,Egresos,Concepto,Servicios de arrendamiento,2567079,Cifras Definitivas
