PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Tema,Total de egresos,18177450000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Capítulo,Servicios personales,1126860284,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Concepto,Remuneraciones al personal,546629295,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,24926079,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría general de gobierno,41130964,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,47683180,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,39999095,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de fomento económico,13396322,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de turismo,11744651,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría del medio ambiente,20533791,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de planeación,8180940,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de desarrollo social,11894921,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,14796248,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Seguridad pública y tránsito,137202332,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Procuraduría general de justicia,104830904,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Contraloría general del estado,10205389,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Oficialía mayor,37840947,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Dependencias diversas,22263532,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Concepto,Remuneraciones adicionales y especiales,363727330,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,8164023,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",127118935,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Horas extraordinarias,360853,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Compensaciones,227835581,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Honorarios especiales,247938,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Concepto,Seguridad social,49605245,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Aportaciones de seguridad social,36782058,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,4846291,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Aportaciones al sistema para el retiro,5538376,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Partida Genérica,Aportaciones para seguros,2438520,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2012,01,Egresos,Concepto,Otras prestaciones sociales y económicas,164293347,Cifras Definitivas
