PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Tema,Total de egresos,1484204509,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Capítulo,Servicios personales,118523352,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Concepto,Remuneraciones al personal,103879793,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Partida Genérica,Dependencias diversas,103879793,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Concepto,Remuneraciones adicionales y especiales,8634785,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,8634785,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Concepto,Seguridad social,6008774,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Partida Genérica,Otras cuotas de seguridad social y seguros,6008774,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Capítulo,Materiales y suministros,16283912,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Concepto,Materiales y suministros diversos,16283912,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Capítulo,Servicios generales,47995765,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Concepto,Servicios de arrendamiento,1894877,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Partida Genérica,Otros arrendamientos,1894877,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1996,01,Egresos,Concepto,"Servicios financieros, bancarios y comerciales",4656552,Cifras Definitivas
