PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Tema,Total de egresos,6726066424,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Capítulo,Servicios personales,531850778,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Remuneraciones al personal,462595692,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,30308000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Secretaría general de gobierno,117238000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,90493000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,18055000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Secretaría de fomento económico,15052000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Secretaría de desarrollo social,49892000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,15692692,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Procuraduría general de justicia,57131000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Contraloría general del estado,12130000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Representación estatal en el Distrito Federal,2812000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Dependencias diversas,53792000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Seguridad social,28072894,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otras cuotas de seguridad social y seguros,28072894,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Otras prestaciones sociales y económicas,41182192,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,41182192,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Capítulo,Materiales y suministros,60293895,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",13542632,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otros materiales y útiles de administración,13542632,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Alimentos y utensilios,7428212,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otros alimentos y utensilios,7428212,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Materiales y artículos de construcción y de reparación,1823566,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otros materiales y artículos de construcción y reparación,1823566,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,"Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",7544727,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otros productos adquiridos como materia prima,7544727,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,"Combustibles, lubricantes y aditivos",20254678,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,"Combustibles, lubricantes y aditivos",20254678,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,"Vestuario, blancos, prendas de protección y artículos deportivos",2193179,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,"Otros vestuario, blancos, prendas de protección y artículos deportivos",2193179,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Materiales y suministros para seguridad,9720,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Partida Genérica,Otros materiales para la seguridad,9720,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Materiales y suministros diversos,7497181,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Capítulo,Servicios generales,129302292,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2003,01,Egresos,Concepto,Servicios básicos,21063528,Cifras Definitivas
