PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Tema,Total de egresos,5300783709,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Capítulo,Servicios personales,445870204,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Remuneraciones al personal,445870204,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,34000949,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Secretaría general de gobierno,97080503,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,96009437,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,13915936,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Secretaría de fomento económico,14343480,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Secretaría de desarrollo social,50788423,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,16428054,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Procuraduría general de justicia,57280314,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Contraloría general del estado,12222597,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Representación estatal en el Distrito Federal,3589855,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Dependencias diversas,50210656,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Capítulo,Materiales y suministros,54744664,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",14258701,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros materiales y útiles de administración,14258701,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Alimentos y utensilios,5950377,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros alimentos y utensilios,5950377,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Materiales y artículos de construcción y de reparación,2665049,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros materiales y artículos de construcción y reparación,2665049,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",12340050,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros productos adquiridos como materia prima,12340050,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Combustibles, lubricantes y aditivos",17340495,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,"Combustibles, lubricantes y aditivos",17340495,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Vestuario, blancos, prendas de protección y artículos deportivos",2187336,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,"Otros vestuario, blancos, prendas de protección y artículos deportivos",2187336,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Materiales y suministros para seguridad,2656,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros materiales para la seguridad,2656,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Capítulo,Servicios generales,111952988,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Servicios básicos,22777077,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Servicios integrales y otros servicios,22777077,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Servicios de arrendamiento,3751078,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros arrendamientos,3751078,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Servicios profesionales, científicos, técnicos y otros servicios",16397314,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,"Servicios profesionales, científicos y técnicos integrales",16397314,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Servicios financieros, bancarios y comerciales",5566737,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,"Servicios financieros, bancarios y comerciales integrales",5566737,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,"Servicios de instalación, reparación, mantenimiento y conservación",17611263,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Diversos servicios de mantenimiento,17611263,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Servicios de comunicación social y publicidad,29711905,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros servicios de información,29711905,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Servicios oficiales,13327423,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Diversos servicios oficiales,13327423,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Otros servicios generales,2810191,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Otros servicios generales,2810191,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Capítulo,"Transferencias, asignaciones, subsidios y otras ayudas",3164462971,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Concepto,Transferencias internas y asignaciones al sector público,3164462971,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,A instituciones del gobierno según función,2765480925,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de educación,1965575645,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de salud,524357244,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de asistencia social,61850788,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de seguridad social,3300000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de cultura y deporte,104458490,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de seguridad pública,98617069,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Subpartida Genérica,Instituciones y programas de infraestructura,7321689,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2001,01,Egresos,Partida Genérica,Diversas transferencias,398982046,Cifras Definitivas
