PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Tema,Total de egresos,16447824000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Capítulo,Servicios personales,969834666,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Concepto,Remuneraciones al personal,509197462,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,31375876,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría general de gobierno,43991966,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,42792421,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,43045831,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría de fomento económico,11154236,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría de turismo,13147966,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría de planeación,7722922,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Secretaría de desarrollo social,17507253,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2011,01,Egresos,Partida Genérica,Seguridad pública y tránsito,129362823,Cifras Definitivas
