PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Tema,Total de egresos,267727370,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Capítulo,Servicios personales,33169149,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Concepto,Remuneraciones al personal,14701145,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Partida Genérica,Dependencias diversas,14701145,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Concepto,Remuneraciones adicionales y especiales,18468004,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,18468004,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Capítulo,Materiales y suministros,10988824,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Concepto,Materiales y suministros diversos,10988824,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Capítulo,Servicios generales,5825092,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Concepto,Servicios de arrendamiento,407790,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Partida Genérica,Otros arrendamientos,407790,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Concepto,Servicios de comunicación social y publicidad,3494545,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Partida Genérica,Otros servicios de información,3494545,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1990,01,Egresos,Concepto,Otros servicios generales,1922757,Cifras Definitivas
