PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Tema,Total de egresos,13440704501,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Capítulo,Servicios personales,1009362913,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Concepto,Remuneraciones al personal,401260675,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,22318765,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría general de gobierno,35459973,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,38176326,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,33997347,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría de fomento económico,11421600,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría de turismo,12519503,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría de planeación,10948740,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Secretaría de desarrollo social,14705593,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Seguridad pública y tránsito,95842791,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Procuraduría general de justicia,74450274,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Contraloría general del estado,9708536,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Dependencias diversas,41711227,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Concepto,Remuneraciones adicionales y especiales,293598381,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,5775972,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",109582529,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Compensaciones,178073406,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,166474,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Concepto,Seguridad social,51123509,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Aportaciones de seguridad social,41896191,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,4348868,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Aportaciones al sistema para el retiro,4878450,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Concepto,Otras prestaciones sociales y económicas,263380348,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,6213874,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Indemnizaciones,130469853,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,126696621,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Capítulo,Materiales y suministros,96378275,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",14055895,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2010,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de oficina",5011431,Cifras Definitivas
